tensor_id,layer_name,shape,mean,std,minimum,maximum,dynamic_range,l1_norm,l2_norm,zero_ratio,non_zero_ratio,histogram
10,model.layers.1.self_attn.q_proj.weight,"(2097152, 1)",122.05840301513672,54.53395462036133,0.0,255.0,255.0,255996320.0,193652.890625,0.00023651123046875,0.9997634887695312,"[3328.0, 7610.0, 8453.0, 8254.0, 3488.0, 2796.0, 3740.0, 12473.0, 11644.0, 20013.0, 11740.0, 4835.0, 6056.0, 10147.0, 23750.0, 21685.0, 18803.0, 8127.0, 6224.0, 9573.0, 26587.0, 41342.0, 17760.0, 17337.0, 5218.0, 13860.0, 20090.0, 53522.0, 26683.0, 26125.0, 11505.0, 8371.0, 31584.0, 36465.0, 63316.0, 23094.0, 18856.0, 5747.0, 27082.0, 35693.0, 85323.0, 45621.0, 16566.0, 12701.0, 23048.0, 73282.0, 99501.0, 87493.0, 33370.0, 23216.0, 16008.0, 25369.0, 75069.0, 36191.0, 33080.0, 10821.0, 9910.0, 16460.0, 45687.0, 44454.0, 34658.0, 16827.0, 4647.0, 19065.0, 23391.0, 52205.0, 21610.0, 19538.0, 5713.0, 10981.0, 26094.0, 31087.0, 28732.0, 12486.0, 9335.0, 4689.0, 17008.0, 17779.0, 30758.0, 12184.0, 11101.0, 5560.0, 8055.0, 18879.0, 17471.0, 15414.0, 6699.0, 4419.0, 4846.0, 11784.0, 17602.0, 7637.0, 8388.0, 2796.0, 3036.0, 4241.0, 10582.0, 5364.0, 5683.0, 2662.0]"
11,model.layers.1.self_attn.k_proj.weight,"(262144, 1)",121.95250701904297,53.042240142822266,0.0,255.0,255.0,31969118.0,68093.3828125,0.000171661376953125,0.9998283386230469,"[339.0, 923.0, 1091.0, 1042.0, 438.0, 337.0, 400.0, 1334.0, 1318.0, 2236.0, 1298.0, 517.0, 682.0, 1083.0, 2807.0, 2502.0, 2179.0, 933.0, 703.0, 1068.0, 3266.0, 5105.0, 2131.0, 1953.0, 579.0, 1594.0, 2398.0, 6749.0, 3404.0, 3190.0, 1348.0, 926.0, 3722.0, 4874.0, 8533.0, 3045.0, 2190.0, 703.0, 3326.0, 4708.0, 12114.0, 6199.0, 2020.0, 1451.0, 2606.0, 9184.0, 13420.0, 11450.0, 3792.0, 2527.0, 1897.0, 3210.0, 10532.0, 5185.0, 4241.0, 1285.0, 1261.0, 2007.0, 6222.0, 5980.0, 4649.0, 1991.0, 537.0, 2229.0, 3003.0, 6696.0, 2867.0, 2375.0, 620.0, 1256.0, 3214.0, 3634.0, 3562.0, 1414.0, 993.0, 524.0, 2050.0, 2141.0, 3595.0, 1475.0, 1206.0, 668.0, 927.0, 2294.0, 1937.0, 1727.0, 767.0, 484.0, 563.0, 1315.0, 1924.0, 857.0, 898.0, 273.0, 360.0, 498.0, 1414.0, 695.0, 637.0, 318.0]"
12,model.layers.1.self_attn.v_proj.weight,"(262144, 1)",122.43321990966797,56.70962905883789,0.0,255.0,255.0,32095136.0,69086.4921875,0.0002593994140625,0.9997406005859375,"[466.0, 1028.0, 977.0, 1074.0, 471.0, 429.0, 605.0, 1750.0, 1798.0, 2544.0, 1664.0, 740.0, 900.0, 1404.0, 3400.0, 2610.0, 2679.0, 1173.0, 871.0, 1331.0, 3651.0, 5006.0, 2450.0, 2468.0, 774.0, 2052.0, 2783.0, 5996.0, 3442.0, 3569.0, 1652.0, 1226.0, 4433.0, 4722.0, 7104.0, 3073.0, 2867.0, 830.0, 4151.0, 4935.0, 9345.0, 6150.0, 2442.0, 1738.0, 2437.0, 7153.0, 7220.0, 8084.0, 3328.0, 2472.0, 2505.0, 3511.0, 8192.0, 4640.0, 4573.0, 1702.0, 1556.0, 2404.0, 6007.0, 4650.0, 4775.0, 2537.0, 640.0, 2728.0, 3089.0, 5931.0, 2819.0, 2801.0, 811.0, 1586.0, 3605.0, 3478.0, 3884.0, 1694.0, 1317.0, 710.0, 2397.0, 2549.0, 3745.0, 1737.0, 1585.0, 856.0, 1154.0, 2792.0, 2086.0, 2239.0, 940.0, 717.0, 714.0, 1740.0, 2374.0, 1199.0, 1257.0, 417.0, 462.0, 556.0, 1255.0, 684.0, 724.0, 353.0]"
13,model.layers.1.self_attn.o_proj.weight,"(2097152, 1)",122.61412811279297,60.015480041503906,0.0,255.0,255.0,257135296.0,197740.8125,0.0003275871276855469,0.9996724128723145,"[4725.0, 9014.0, 6873.0, 8456.0, 4642.0, 4025.0, 5930.0, 18522.0, 15349.0, 20843.0, 17039.0, 7854.0, 9396.0, 15225.0, 30890.0, 20140.0, 25744.0, 12557.0, 9382.0, 14704.0, 34996.0, 38879.0, 22284.0, 24628.0, 7772.0, 19565.0, 25456.0, 46986.0, 27782.0, 33302.0, 16457.0, 10794.0, 38613.0, 34781.0, 48198.0, 26267.0, 25279.0, 6647.0, 32594.0, 34005.0, 55533.0, 44306.0, 20103.0, 13002.0, 17930.0, 45956.0, 36331.0, 46169.0, 23232.0, 17690.0, 19708.0, 26163.0, 49467.0, 29365.0, 34244.0, 13360.0, 12454.0, 20741.0, 45116.0, 30086.0, 37253.0, 22272.0, 5482.0, 25980.0, 26417.0, 42062.0, 24175.0, 26061.0, 7721.0, 16136.0, 33475.0, 25692.0, 33079.0, 17266.0, 13366.0, 7472.0, 24842.0, 21785.0, 29875.0, 16429.0, 16707.0, 8464.0, 12485.0, 24808.0, 16136.0, 20811.0, 10252.0, 6844.0, 7931.0, 17225.0, 18220.0, 10840.0, 12623.0, 4392.0, 4377.0, 5334.0, 9242.0, 5527.0, 6929.0, 3614.0]"
14,model.layers.1.mlp.gate_proj.weight,"(5767168, 1)",122.62612915039062,60.1463737487793,0.0,255.0,255.0,707146304.0,328131.46875,0.0003171400458086282,0.9996828436851501,"[13143.0, 24462.0, 18524.0, 23568.0, 13012.0, 11239.0, 16807.0, 51151.0, 42367.0, 57486.0, 47154.0, 21884.0, 25880.0, 42561.0, 85141.0, 55318.0, 70724.0, 35172.0, 26130.0, 40679.0, 96305.0, 105994.0, 61199.0, 68955.0, 21629.0, 54738.0, 70618.0, 128166.0, 75723.0, 91930.0, 45725.0, 30253.0, 106665.0, 95406.0, 131639.0, 71959.0, 70354.0, 18145.0, 89941.0, 93437.0, 150106.0, 119941.0, 55581.0, 36151.0, 49398.0, 126119.0, 99839.0, 125533.0, 63660.0, 49461.0, 54654.0, 72023.0, 134626.0, 79687.0, 93895.0, 37805.0, 34538.0, 57420.0, 122377.0, 80836.0, 100764.0, 62065.0, 15099.0, 71206.0, 72835.0, 115266.0, 65613.0, 71574.0, 21716.0, 44718.0, 91547.0, 70108.0, 89486.0, 46540.0, 37998.0, 20401.0, 69027.0, 59493.0, 81167.0, 45603.0, 46204.0, 23534.0, 35266.0, 69735.0, 45191.0, 57797.0, 28752.0, 19526.0, 22424.0, 47891.0, 50346.0, 29635.0, 35168.0, 11918.0, 12386.0, 14564.0, 25559.0, 15035.0, 19028.0, 10150.0]"
15,model.layers.1.mlp.up_proj.weight,"(5767168, 1)",122.63320922851562,60.20222091674805,0.0,255.0,255.0,707188416.0,328204.125,0.000316619873046875,0.9996833801269531,"[13187.0, 24868.0, 18406.0, 24159.0, 13191.0, 11013.0, 16845.0, 51033.0, 42961.0, 58219.0, 47901.0, 22263.0, 25809.0, 42380.0, 85001.0, 55255.0, 70322.0, 34879.0, 25721.0, 40689.0, 95916.0, 106426.0, 61446.0, 68709.0, 21289.0, 54460.0, 70163.0, 127165.0, 75686.0, 90933.0, 45626.0, 30111.0, 106306.0, 95780.0, 131801.0, 71896.0, 69997.0, 17993.0, 90825.0, 93649.0, 150088.0, 120184.0, 55653.0, 36236.0, 50190.0, 126398.0, 98918.0, 125798.0, 63996.0, 49293.0, 54944.0, 72146.0, 134614.0, 79598.0, 94486.0, 37590.0, 34481.0, 57231.0, 122559.0, 80851.0, 101301.0, 62334.0, 15237.0, 71119.0, 71875.0, 113811.0, 65308.0, 71848.0, 21603.0, 45135.0, 91366.0, 69696.0, 89375.0, 46793.0, 37657.0, 20711.0, 68103.0, 59396.0, 81232.0, 46040.0, 46104.0, 23127.0, 35164.0, 69039.0, 44931.0, 58487.0, 28544.0, 19343.0, 22286.0, 47989.0, 51130.0, 29750.0, 35862.0, 12154.0, 12380.0, 14804.0, 25839.0, 15238.0, 19344.0, 10180.0]"
16,model.layers.1.mlp.down_proj.weight,"(5767168, 1)",122.62195587158203,60.32360076904297,0.0,255.0,255.0,707121792.0,328310.0625,0.0003053491818718612,0.9996946454048157,"[13143.0, 24905.0, 18589.0, 24087.0, 13078.0, 11461.0, 16791.0, 51865.0, 43170.0, 58586.0, 48293.0, 22095.0, 26032.0, 42471.0, 85279.0, 55627.0, 71610.0, 35064.0, 25898.0, 40782.0, 96626.0, 106718.0, 61869.0, 68813.0, 21559.0, 54404.0, 70389.0, 128041.0, 75405.0, 91637.0, 45718.0, 30133.0, 106232.0, 95619.0, 130976.0, 72043.0, 69187.0, 17752.0, 89589.0, 92619.0, 149447.0, 119854.0, 55344.0, 35448.0, 49159.0, 125119.0, 99906.0, 125402.0, 63017.0, 48941.0, 53879.0, 71669.0, 133908.0, 78987.0, 93562.0, 37212.0, 34352.0, 56898.0, 122356.0, 80819.0, 100810.0, 62045.0, 15016.0, 71164.0, 72330.0, 115206.0, 65095.0, 72196.0, 21513.0, 44989.0, 91768.0, 69816.0, 89724.0, 46987.0, 37922.0, 20759.0, 68861.0, 59639.0, 81737.0, 45812.0, 46911.0, 23485.0, 35359.0, 69513.0, 45274.0, 58342.0, 28892.0, 19443.0, 22456.0, 47448.0, 50934.0, 30067.0, 35821.0, 12211.0, 12335.0, 14929.0, 25943.0, 15424.0, 19136.0, 10422.0]"
17,model.layers.1.input_layernorm.weight,"(2048,)",0.040502868592739105,0.05586699768900871,-0.0069580078125,0.55078125,0.5577392578125,83.1596908569336,3.1222801208496094,0.0,1.0,"[20.0, 130.0, 33.0, 96.0, 401.0, 396.0, 259.0, 154.0, 106.0, 75.0, 45.0, 37.0, 34.0, 20.0, 21.0, 22.0, 21.0, 19.0, 20.0, 13.0, 11.0, 14.0, 8.0, 10.0, 6.0, 9.0, 4.0, 3.0, 3.0, 4.0, 0.0, 1.0, 2.0, 4.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 4.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 3.0, 0.0, 1.0, 0.0, 2.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0]"
18,model.layers.1.post_attention_layernorm.weight,"(2048,)",0.12838055193424225,0.0210536178201437,-0.0008697509765625,0.349609375,0.3504791259765625,262.927978515625,5.887407302856445,0.0,1.0,"[9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 1.0, 0.0, 2.0, 2.0, 1.0, 1.0, 4.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 8.0, 12.0, 17.0, 12.0, 16.0, 16.0, 12.0, 23.0, 33.0, 51.0, 74.0, 181.0, 290.0, 509.0, 369.0, 155.0, 109.0, 41.0, 29.0, 14.0, 5.0, 2.0, 4.0, 3.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0]"
19,model.layers.2.self_attn.q_proj.weight,"(2097152, 1)",122.61996459960938,59.331825256347656,0.0,255.0,255.0,257148864.0,197315.640625,0.0002903938293457031,0.9997096061706543,"[4331.0, 8822.0, 6774.0, 8568.0, 4596.0, 3944.0, 5512.0, 17436.0, 14891.0, 20020.0, 16631.0, 7510.0, 8737.0, 14703.0, 29759.0, 19629.0, 24905.0, 12021.0, 9016.0, 13737.0, 33943.0, 38728.0, 22128.0, 24142.0, 7466.0, 19034.0, 25386.0, 47738.0, 28073.0, 33441.0, 16100.0, 10462.0, 38433.0, 36720.0, 50458.0, 26534.0, 24734.0, 6395.0, 31752.0, 35462.0, 58806.0, 45813.0, 19691.0, 12766.0, 17591.0, 47226.0, 39369.0, 48885.0, 23249.0, 17271.0, 18915.0, 26592.0, 52619.0, 31448.0, 34800.0, 13054.0, 12126.0, 20440.0, 46281.0, 31439.0, 37791.0, 21826.0, 5349.0, 25271.0, 26561.0, 43738.0, 24207.0, 25534.0, 7627.0, 15784.0, 33176.0, 26042.0, 32899.0, 16777.0, 13277.0, 7254.0, 23968.0, 21614.0, 29481.0, 16296.0, 15997.0, 8134.0, 12184.0, 24230.0, 15767.0, 20366.0, 9837.0, 6562.0, 7694.0, 16499.0, 17592.0, 10224.0, 11984.0, 3989.0, 4261.0, 5256.0, 9381.0, 5472.0, 6673.0, 3526.0]"
