tensor_id,layer_name,shannon_entropy,renyi_entropy,tsallis_entropy,local_entropy_mean,local_entropy_std,local_entropy_min,local_entropy_max,residual_entropy,entropy_stability,normalized_entropy,entropy_percentile
88,model.layers.9.mlp.down_proj.weight,7.747915744781494,7.586216449737549,0.9947962164878845,7.34619804916226,0.09683674313651552,6.382432460784912,7.552730560302734,7.442150592803955,0.0,0.9684894680976868,0.6766169154228856
89,model.layers.9.input_layernorm.weight,5.272563934326172,4.773531436920166,0.9634385108947754,5.342312335968018,0.12555822545332201,5.159398078918457,5.509395599365234,5.676790237426758,0.0,0.6590704917907715,0.13930348258706468
90,model.layers.9.post_attention_layernorm.weight,5.031889915466309,4.469608783721924,0.9548649787902832,4.9251179695129395,0.06700746312380282,4.838510513305664,5.021726608276367,5.820980072021484,0.0,0.6289862394332886,0.0945273631840796
91,model.layers.10.self_attn.q_proj.weight,7.738738059997559,7.570021152496338,0.994737446308136,7.339440576848574,0.08430547850520055,6.7061591148376465,7.540935516357422,7.439264297485352,0.0,0.9673422574996948,0.5522388059701493
92,model.layers.10.self_attn.k_proj.weight,7.734309196472168,7.56460428237915,0.9947176575660706,7.336251207627356,0.07273039013306305,7.077524662017822,7.530817985534668,7.438255310058594,0.0,0.966788649559021,0.4975124378109453
93,model.layers.10.self_attn.v_proj.weight,7.730052471160889,7.55379056930542,0.9946779012680054,7.336896128952503,0.05546773183785455,7.088238716125488,7.508481979370117,7.431782245635986,0.0,0.9662565588951111,0.4577114427860697
94,model.layers.10.self_attn.o_proj.weight,7.767173767089844,7.620954513549805,0.994920015335083,7.37180620408617,0.054284590178293,6.852826118469238,7.5386810302734375,7.465245723724365,0.0,0.9708967208862305,1.0
95,model.layers.10.mlp.gate_proj.weight,7.7567644119262695,7.602351665496826,0.9948540925979614,7.357616955118084,0.07983392430454922,6.104855537414551,7.564013957977295,7.451155185699463,0.0,0.9695955514907837,0.8208955223880597
96,model.layers.10.mlp.up_proj.weight,7.753227233886719,7.596060752868652,0.9948315620422363,7.3556708937341515,0.07054531933932877,6.1685686111450195,7.548583984375,7.446399688720703,0.0,0.9691534042358398,0.7412935323383084
97,model.layers.10.mlp.down_proj.weight,7.7521796226501465,7.594322204589844,0.9948253631591797,7.353466562080112,0.07967983632133548,6.365723609924316,7.542813301086426,7.448949337005615,0.0,0.9690224528312683,0.7164179104477612
98,model.layers.10.input_layernorm.weight,5.227010250091553,4.734604835510254,0.9624385833740234,5.41483199596405,0.1062343257018625,5.258039474487305,5.553006172180176,5.664690971374512,0.0,0.6533762812614441,0.11940298507462686
99,model.layers.10.post_attention_layernorm.weight,5.336436748504639,4.797187328338623,0.9640331268310547,5.2042540311813354,0.0795229021885223,5.114489555358887,5.332627296447754,6.004644393920898,0.0,0.6670545935630798,0.15422885572139303
100,model.layers.11.self_attn.q_proj.weight,7.723176002502441,7.542266845703125,0.9946352243423462,7.323310759966262,0.09774095698927693,6.429637432098389,7.513069152832031,7.422240257263184,0.0,0.9653970003128052,0.38308457711442784
101,model.layers.11.self_attn.k_proj.weight,7.7367024421691895,7.567584037780762,0.9947285652160645,7.339021638967097,0.06990926284656755,6.853121757507324,7.492888450622559,7.444988250732422,0.0,0.9670878052711487,0.527363184079602
102,model.layers.11.self_attn.v_proj.weight,7.713328838348389,7.52390718460083,0.9945665001869202,7.322868928313255,0.057619581092634195,7.119655609130859,7.460904121398926,7.430325508117676,0.0,0.9641661047935486,0.35323383084577115
103,model.layers.11.self_attn.o_proj.weight,7.760009288787842,7.608520984649658,0.9948760271072388,7.363824019441381,0.055864431102923086,6.97228479385376,7.547759056091309,7.4513702392578125,0.0,0.9700011610984802,0.9054726368159204
104,model.layers.11.mlp.gate_proj.weight,7.755087852478027,7.599791526794434,0.994844913482666,7.35750680141659,0.0733117344894466,6.12891960144043,7.542876243591309,7.449220657348633,0.0,0.9693859815597534,0.7910447761194029
105,model.layers.11.mlp.up_proj.weight,7.752585411071777,7.595232009887695,0.9948285818099976,7.355252249335701,0.07033388990980932,6.437234401702881,7.546093940734863,7.4459004402160645,0.0,0.9690731763839722,0.7213930348258707
106,model.layers.11.mlp.down_proj.weight,7.751170635223389,7.592381000518799,0.994818389415741,7.351868327453055,0.08039681044852161,5.905086517333984,7.568205833435059,7.447829246520996,0.0,0.9688963294029236,0.7114427860696517
107,model.layers.11.input_layernorm.weight,5.785253047943115,5.382561206817627,0.9760289192199707,5.7212241888046265,0.10285580762571918,5.585872650146484,5.870616436004639,5.953666687011719,0.0,0.7231566309928894,0.208955223880597
108,model.layers.11.post_attention_layernorm.weight,5.431507110595703,4.959089756011963,0.9678511619567871,5.31670606136322,0.07259363525437923,5.257896423339844,5.438016891479492,6.044191360473633,0.003966331481933594,0.6789383888244629,0.17412935323383086
109,model.layers.12.self_attn.q_proj.weight,7.742409706115723,7.577052593231201,0.9947630167007446,7.34482908656355,0.07407739525174124,6.683956146240234,7.537288188934326,7.441976547241211,0.0,0.9678012132644653,0.6019900497512438
110,model.layers.12.self_attn.k_proj.weight,7.735775470733643,7.565571308135986,0.9947211742401123,7.337623182684183,0.07609224204684252,6.952766418457031,7.490993022918701,7.446298122406006,0.0,0.9669719338417053,0.5074626865671642
111,model.layers.12.self_attn.v_proj.weight,7.721061706542969,7.535953521728516,0.9946116805076599,7.327969414182007,0.059582061704881416,7.100881099700928,7.493594169616699,7.425581932067871,0.0,0.9651327133178711,0.373134328358209
112,model.layers.12.self_attn.o_proj.weight,7.763763427734375,7.615319728851318,0.994900107383728,7.368878846406005,0.05546747889976641,6.986776351928711,7.573673248291016,7.46354866027832,0.0,0.9704704284667969,0.9850746268656716
113,model.layers.12.mlp.gate_proj.weight,7.747227191925049,7.585421085357666,0.9947932958602905,7.346883887679062,0.08978051429848721,5.88321590423584,7.5562520027160645,7.442900657653809,0.0,0.9684033989906311,0.6666666666666666
114,model.layers.12.mlp.up_proj.weight,7.744187831878662,7.579833984375,0.9947730898857117,7.344799596985633,0.08430471221802692,6.085295677185059,7.541502952575684,7.44203519821167,0.0,0.9680234789848328,0.6268656716417911
115,model.layers.12.mlp.down_proj.weight,7.7404327392578125,7.573366641998291,0.9947496056556702,7.337796615098011,0.1049464453096858,6.233999729156494,7.538012504577637,7.435616493225098,0.0,0.9675540924072266,0.5572139303482587
116,model.layers.12.input_layernorm.weight,5.77949333190918,5.316758632659912,0.9749102592468262,5.718984127044678,0.029731243376066332,5.691798686981201,5.767292022705078,5.925012588500977,0.0,0.7224366664886475,0.20398009950248755
117,model.layers.12.post_attention_layernorm.weight,5.27689266204834,4.858611106872559,0.9655323028564453,5.164073348045349,0.07318808534402246,5.085219860076904,5.262730598449707,5.745676517486572,0.0,0.6596115827560425,0.14427860696517414
118,model.layers.13.self_attn.q_proj.weight,7.741081714630127,7.574857711791992,0.9947550296783447,7.344031786429696,0.07084871742851809,6.773277282714844,7.5373454093933105,7.440280914306641,0.0,0.9676352143287659,0.5671641791044776
119,model.layers.13.self_attn.k_proj.weight,7.742868423461914,7.577696800231934,0.9947653412818909,7.347302724607289,0.0676728608499135,6.931668281555176,7.509176731109619,7.443011283874512,0.0,0.9678585529327393,0.6069651741293532
120,model.layers.13.self_attn.v_proj.weight,7.732974052429199,7.558169841766357,0.9946940541267395,7.336649104952812,0.06190015576007307,7.128987789154053,7.548755645751953,7.440448760986328,0.0,0.9666217565536499,0.47761194029850745
121,model.layers.13.self_attn.o_proj.weight,7.762382507324219,7.612978935241699,0.9948918223381042,7.366119681391865,0.05501071991886241,6.893665313720703,7.5177459716796875,7.458185195922852,0.0,0.9702978134155273,0.9601990049751243
122,model.layers.13.mlp.gate_proj.weight,7.745716094970703,7.582755088806152,0.9947836995124817,7.345841115171259,0.09464401067485612,5.989298343658447,7.54033088684082,7.441812515258789,0.0,0.9682145118713379,0.6467661691542289
