tensor_id,layer_name,variance,skewness,kurtosis,coefficient_of_variation,dynamic_range
25,model.layers.2.mlp.down_proj.weight,3659.49072265625,0.10931353271007538,2.1273727416992188,0.4931835037936841,255.0
26,model.layers.2.input_layernorm.weight,0.004682203289121389,4.642097473144531,29.320228576660156,0.8088177765315248,0.6759796142578125
27,model.layers.2.post_attention_layernorm.weight,0.0004810278187505901,-4.132427215576172,24.617412567138672,0.13104856086123065,0.2407073974609375
28,model.layers.3.self_attn.q_proj.weight,3548.933837890625,0.11381523311138153,2.1815078258514404,0.4864367481836049,255.0
29,model.layers.3.self_attn.k_proj.weight,3438.644287109375,0.11495484411716461,2.22617769241333,0.47922637987947225,255.0
30,model.layers.3.self_attn.v_proj.weight,3573.20068359375,0.11867976188659668,2.176631450653076,0.4881967206985923,255.0
31,model.layers.3.self_attn.o_proj.weight,3681.6796875,0.1078587993979454,2.1178388595581055,0.4945258846738202,255.0
32,model.layers.3.mlp.gate_proj.weight,3661.7265625,0.11425512284040451,2.1280782222747803,0.4946898891655165,255.0
33,model.layers.3.mlp.up_proj.weight,3645.767822265625,0.1098642349243164,2.1344544887542725,0.4923643622666789,255.0
34,model.layers.3.mlp.down_proj.weight,3659.8515625,0.10914477705955505,2.1281440258026123,0.49325433516806577,255.0
35,model.layers.3.input_layernorm.weight,0.0029973399359732866,2.9374570846557617,15.97103500366211,0.2440312022898355,0.644805908203125
36,model.layers.3.post_attention_layernorm.weight,0.0004562324029393494,-5.2644195556640625,36.09899139404297,0.11589152629800252,0.22006607055664062
37,model.layers.4.self_attn.q_proj.weight,3533.182861328125,0.11407140642404556,2.192173957824707,0.4852310562982911,255.0
38,model.layers.4.self_attn.k_proj.weight,3424.555908203125,0.12027639150619507,2.2371578216552734,0.4780887333466969,255.0
39,model.layers.4.self_attn.v_proj.weight,3545.31591796875,0.11463966965675354,2.1866204738616943,0.4852762426885494,255.0
40,model.layers.4.self_attn.o_proj.weight,3625.254150390625,0.10948232561349869,2.1384315490722656,0.4910573294381547,255.0
41,model.layers.4.mlp.gate_proj.weight,3669.424560546875,0.11364195495843887,2.124507188796997,0.4948603269294163,255.0
42,model.layers.4.mlp.up_proj.weight,3644.531494140625,0.10953286290168762,2.1359217166900635,0.4924712579223302,255.0
43,model.layers.4.mlp.down_proj.weight,3662.968994140625,0.11009100079536438,2.1278717517852783,0.49350658278316095,255.0
44,model.layers.4.input_layernorm.weight,0.003388464916497469,2.478847026824951,13.412784576416016,0.18194285908038058,0.7461490631103516
45,model.layers.4.post_attention_layernorm.weight,0.0005676669534295797,-4.873339653015137,31.564369201660156,0.12048062914987652,0.21997833251953125
46,model.layers.5.self_attn.q_proj.weight,3557.371826171875,0.11321674287319183,2.177621603012085,0.4868508993042763,255.0
47,model.layers.5.self_attn.k_proj.weight,3442.87890625,0.1185402199625969,2.2271888256073,0.4792517396801618,255.0
48,model.layers.5.self_attn.v_proj.weight,3579.350830078125,0.11276701092720032,2.1749720573425293,0.4878994089135699,255.0
49,model.layers.5.self_attn.o_proj.weight,3677.982421875,0.10915940254926682,2.120272397994995,0.4946177851530691,255.0
50,model.layers.5.mlp.gate_proj.weight,3649.063232421875,0.11171667277812958,2.133770227432251,0.4929363803881045,255.0
51,model.layers.5.mlp.up_proj.weight,3625.74365234375,0.11011206358671188,2.1448404788970947,0.49106782200875915,255.0
52,model.layers.5.mlp.down_proj.weight,3642.114013671875,0.10891818255186081,2.1348421573638916,0.4919990458801647,255.0
53,model.layers.5.input_layernorm.weight,0.00237688678316772,3.358250141143799,22.988351821899414,0.17412340910126275,0.7538366317749023
54,model.layers.5.post_attention_layernorm.weight,0.0005064037395641208,-4.8800950050354,33.57898712158203,0.10420331463967582,0.24224281311035156
55,model.layers.6.self_attn.q_proj.weight,3527.268310546875,0.11399662494659424,2.190974473953247,0.484478732774167,255.0
56,model.layers.6.self_attn.k_proj.weight,3464.5390625,0.11490867286920547,2.219329595565796,0.4797545777263604,255.0
57,model.layers.6.self_attn.v_proj.weight,3531.1318359375,0.11421562731266022,2.195984125137329,0.48554810830516926,255.0
58,model.layers.6.self_attn.o_proj.weight,3638.1904296875,0.10982020944356918,2.1348876953125,0.4917981023104158,255.0
59,model.layers.6.mlp.gate_proj.weight,3644.011962890625,0.1090855598449707,2.1342289447784424,0.4918132918098047,255.0
60,model.layers.6.mlp.up_proj.weight,3613.057373046875,0.1115012839436531,2.149742364883423,0.4903394001238767,255.0
61,model.layers.6.mlp.down_proj.weight,3602.9072265625,0.11068934947252274,2.1520326137542725,0.4896292202191512,255.0
62,model.layers.6.input_layernorm.weight,0.006273481994867325,2.7774009704589844,12.279496192932129,0.2954880770306672,0.7385501861572266
63,model.layers.6.post_attention_layernorm.weight,0.00047918970813043416,-4.178365707397461,26.45526123046875,0.09723845025326319,0.24808859825134277
64,model.layers.7.self_attn.q_proj.weight,3580.317626953125,0.11206647008657455,2.164888858795166,0.48834540229570145,255.0
65,model.layers.7.self_attn.k_proj.weight,3535.048828125,0.11065378785133362,2.1773390769958496,0.4852002176630854,255.0
66,model.layers.7.self_attn.v_proj.weight,3527.279052734375,0.11878838390111923,2.2084271907806396,0.48513887171591874,255.0
67,model.layers.7.self_attn.o_proj.weight,3672.1171875,0.1077437549829483,2.1209375858306885,0.4937951550048676,255.0
68,model.layers.7.mlp.gate_proj.weight,3622.08349609375,0.11007662117481232,2.1460072994232178,0.4900963423649628,255.0
69,model.layers.7.mlp.up_proj.weight,3596.74609375,0.1110064685344696,2.158925771713257,0.48905451941942313,255.0
70,model.layers.7.mlp.down_proj.weight,3576.94140625,0.11163100600242615,2.165482521057129,0.48790256927835096,255.0
71,model.layers.7.input_layernorm.weight,0.003327180864289403,3.574071168899536,23.6624813079834,0.18786958592205052,0.8008253574371338
